textID,pre_formatted,match,post_formatted,surface,inverse,contracted,uniqueID,batch
231460,"Don't you think it's time to give it up? 
2nd GIRL: No. 
1st GIRL: Why? Everybody's doing it. 
2nd GIRL: ",Everybody isn't me,". 
1st GIRL: Well, put out or get out. ",nobody is me,not all are me,1,24,24
231466,"We then showed him our tape. 
5th SALESPERSON: First of all, you see the torquing of the unintelligible clip and you see no torquing on the- 
Dr. EDDIE JOE REDDICK: No, that is commercial and I think you've got a real good point there 
@!JOHNSON voice-over Dr. Reddick, though, still defended the two-day crash courses, but he says he encourages surgeons to practice with an experienced laparoscopic surgeon before operating on @ @ @ @ @ @ @ @ @ @ real unfortunate that maybe ",everyone wasn't trained in all the safety techniques that they needed to be trained in before,", but I didn't know what those were, so I couldn't teach them if I didn't know what they were. I didn't know how people were going to screw this thing up until some people screwed it up",no one was trained in all the safety techniques that they needed to be trained in before,not all were trained in all the safety techniques that they needed to be trained in before,1,25,25
231722,"On the 37 million uninsured, that's the place to test these wonderful models that look great @ @ @ @ @ @ @ @ @ @ 
@!Dr-HEALY: The Republican model looks great. Your model looks great, Senator, but let's test them so that you -- you will have facts. ",Everybody won't be covered instantly,", but you'll have facts in five years, and we won't be talking about fantasies and fiction and fear. We'll have facts to drive it. ",nobody will be covered instantly,not all will be covered instantly,1,26,26
231726,"Unidentified Woman 1: I agree with the Oilers. I think he had a responsibility to his job and he should have been at his job. 
Unidentified Woman 2: I think that the fine shouldn't have been as much. But ",everybody isn't a Lou Gehrig,", if you know what I mean. He was married and he played ball on the same day he got married. ",nobody is a Lou Gehrig,not all are a Lou Gehrig,1,27,27
235565,"Mr. BACA: Si. Yo existo, aqui- This is it. It's what I want to do. And on the other hand, ",everybody else around me couldn't read or write,. They couldn't read or write. ,nobody else (around me) could read or write,not all else (around me) could read or write,1,28,28
235659,"Which brings us to one @ @ @ @ @ @ @ @ @ @ the end of the furthest dock, past the pollack plants, past the factory trawlers and the container ships bound for Asia. The boat is called the Tiglaks, which is Alyeut for eagle. Biologist Vernon Byrd is the captain. 
VERNON BYRD, Biologist: ",Everybody didn't even agree there was a problem 'til recently,". You know, we all had our little components of it, but it's only been the last five or six years that I think most people have agreed there really is a problem out there. ",nobody even agreed there was a problem 'til recently,not all even agreed there was a problem 'til recently,1,29,29
235669," @!ADAMS Yeah? Do they- 
Ms. CANTERBURY: I mean, that's how the mines affects us, from where they sit right now. 
Mr. CANTERBURY: You know, I love to see the coal mines run because it keeps money in the community, jobs, keeps everything a'rollin'. You take the coal mines out, you've got a ghost town, but you've got to look at it like this - ",everybody don't work for the coal mines,". For those that don't work mines, that's worked their hind end off to get what they've got, they don't want it tore up from people blowing up their land or their homes, sinking their wells",nobody works for the coal mines,not all work for the coal mines,1,30,30
237904,"And so I was here working on inaugural business the next week and I asked- I said, 'Whatever happened to that thing about the travel department?' And they said, 'You know, we've been working on it, you know, and it's an area that can be improved and-' 
KING: And the next thing you know, the announcement is made? 
Mr. THOMASON: And then the announcement was made. And I have to tell you, you know, ",everybody doesn't know exactly what a producer does,", but I spend $ 60 million of the network's money every year, and I have to tell you, if I saw a group displaying that same manner of doing business, then I would say, 'Something's wrong here and we're going to do something about it.' And that's what they did ",nobody knows exactly what a producer does,not all know exactly what a producer does,1,31,31
221558,"You shot him ... 
Unidentified Woman 4: I shot him. 
@!GOLDBERG: ... two days after the beating? 
Woman 4: Yeah. 
@!Ms-WALKER: ",Every battered woman doesn't kill," and shouldn't have the right to kill. 
@!GOLDBERG: Well, who should? ",none kill,not all kill,1,32,32
221558,"You shot him ... 
Unidentified Woman 4: I shot him. 
@!GOLDBERG: ... two days after the beating? 
Woman 4: Yeah. 
@!Ms-WALKER: Every battered woman doesn't kill and ",[every battered woman] shouldn't have the right to kill,". 
@!GOLDBERG: Well, who should? ",none should have the right to kill,not all should have the right to kill,1,33,33
222287," @!KROFT: ( Voiceover ) Conventional wisdom in this town, Washington, is that the only reason there are American troops in Haiti right now is because of you and because of the Black Caucus. 
@!Cong-MFUME: It's politically flattering, but historically incorrect. 
@!KROFT: Why politically flattering? 
@!Cong-MFUME: Well, because it suggests that you have this magic wand and that you're able to do what ",everybody else can't do,". So it's nice that someone might give us that kind of credit, but the people who are giving us that credit are doing it deliberately. ",nobody else can do,not all else can do,1,34,34
225152,"But, Harry, I think maybe we should give Harvey a chance, too, to just talk about how quaint this town is. Lillehammer's really a beautiful place @ @ @ @ @ 
@ @ @ @ @: OK ... 
@!ZAHN: Oh, is that all he's got? 
@!Mr-SCHILLER: The streets are full and this is a very, very exciting time and it's just too bad that ",every American couldn't be here,". 
@!ZAHN: We'll we're going to bring them here by way of television. ",none could be here,not all could be here,1,35,35
228434,"That's borderline police state. I mean, to think that you can open your door, because you had a good idea - and maybe it wasn't a good idea - but for heaven's sake, let's discuss it, let's try to rationalize whether it is or not. Let's just not have a naval investigator show up at your door with a .38 in your face, or a semi-automatic in front of you, with that kind of intimidation. 
Adm @!TAYLOR What kind of a country would we have if ",everybody who had an idea didn't work it the way the system says to," @ @ @ @ @ @ @ @ @ @ ideas? And you go off on your own, everybody's out there on their own, you can't- you can't control that.",nobody (who had an idea) worked it the way the system says to,not all (who had an idea) worked it the way the system says to,1,36,36
230261,"I heard him tell Mama, couldn't me and my girlfriend leave, you know, and I didn't leave. I f -- I wouldn't leave. And then next thing I know, they went off into the bedroom and I heard some screaming and, you know, yelling going on, and I went back there and knocked on the door to see if everything was OK. 
@!RIVERA: Mm-hmm. 
@!MICHAEL-# 1: And Mama said ",everything wasn't OK,", so I called the police to, you know, just come over and get him out of the house and ... 
@!RIVERA: So the call to the cops came before the shot? ",nothing was ok,not all things were ok,1,37,37
230270," @!Ms-ANTHONY: Now he says she is not pregnant. I do @ @ @ @ @ @ @ @ @ @'s saying, to boost her career. She has no career to boost. So, I mean, I don't know why two people -- you know, ",everyone can't just let two people be married,". 
@!RIVERA: Coming up, the latest on Jerry Seinfeld, Sly Stallone, Kevin Costner, Whitney Houston and, of course, Prince Charles -- oh, and there's a talk show host -- famous one -- or, at least, notorious one -- in trouble with his wife. ",no one can just let two people be married,not all can just let two people be married,1,38,38
230290," @!Ms-SLIWA: The real bad girls are the silent type, and that's the truth, OK? 
@!MARIE: You know what? ( censored ) 
@!RIVERA: Rabbit, wait. Shh 
@!RABBIT: ... ",what everybody else won't say,. You know what I'm saying? ,what nobody else will say,what not all else will say,1,39,39
230290," @!RIVERA: Rabbit, wait. Shh 
@!RABBIT: ... what everybody else won't say. You know what I'm saying? We're just saying ",what everybody else won't say,", you know, just because, you know? What?",what nobody else will say,what not all else will say,1,40,40
231472,"Absolutely. I think it is certainly heightened my awareness of every ten minutes, every half hour, every hour. 
JOHN FORNI: Prior to the shooting I always felt as though I could never get into a situation that I somehow couldn't get myself out of. Since the shooting, I feel more vulnerable, that ",everything isn't within my own control,". 
SAM DONALDSON: I have to ask you about your feelings about Colin Ferguson, the man who's accused of doing the shooting. ",nothing is within my own control,not all things are within my own control,1,41,41
231482,"The rules are simple- if you pick truth, you must answer a highly personal question. If you pick dare, you will be asked to do something outrageous. The party was at the apartment of Michael Davis. 
MICHAEL DAVIS: We always talk about going @ @ @ @ @ @ @ @ @ @ sit down and everything was so much fun, like Spin the Bottle and Truth or Dare, all those games you- the silly games that you did when you were in sixth and seventh grade, and we had a bunch of new friends and ",everybody hadn't really opened up,", so we figured, what the hell? Maybe this is a way to get everyone to open up and really let your hair down, if you will. ",nobody had really opened up,not all had really opened up,1,42,42
231791," @!Ms-DONNA-SHALALA-@: ( From footage ) Senator Moynihan, I believe, was ri -- certainly right about the welfare crisis, but we also believe that there's a health-care crisis. You can't go to any part of this country -- millions of Americans who don't have health care or whose children aren't covered for immunizations, millions more who are in threat of losing their health care. We do have a health care crisis in this country and every American knows it. 
@!LIMBAUGH: No, ",every American doesn't know it,", Dr. Shalala, and @ @ @ @ @ @ @ @ @ @ and fewer people will think of health care as a crisis. You want to hear a real health-care crisis?",none know it,not all know it,1,43,43
231804,"Every American -- that's 100 percent, isn't it? Hundred percent -- everything is 100 percent. Everybody does not mean 92, 94, 95, 78, 99 percent; it means 100 percent. Well, as you know, on Tuesday the president went to the national governors' conference meeting in Boston and made a speech which left some confused because they remembered that threat to use that pen if ",everybody in America wasn't covered,". People were so confused that the suave, debonair, erudite and all-knowing Peter Jennings ... ",nobody (in America) was covered,not all (in America) were covered,1,44,44
235766,"You just don't have time like that. This becomes you- your life. 
LOUIS GIATRAS: It's a hard business to run. ",Everybody wouldn't want it,. I could give it to a lot of people and they would turn it down. ,nobody would want it,not all would want it,1,45,45
247738,"But we've always said that we would be willing to phase it in, but in the end every American must have private insurance that can never be taken away 
@!SCHORR Well, in the end becomes an interesting statement, because the suggestion then is that things are phased in rather than happening all at one time. That it could be a long time before you reached that goal. 
Ms. SHALALA: Well, I think it's important to remember that in the president's own proposal, ",everyone wasn't covered right away,". In fact, we were phasing in state by state, and it took a few years to get universal coverage. ",no one was covered right away,not all were covered right away,1,46,46
221298,I wanted to hear like a real type of radio. Everybody was milquetoast. Everybody was middle of the road. ,Everybody didn't want to offend everybody else, and it was boring. It was dull.,nobody wanted to offend everybody else,not all wanted to offend everybody else,1,47,47
221644," @!LAGATTUTA: Yeah. 
@ ( Footage-of-Eatonvi Chief ARMSTRONG: @(Voiceover) I'm not saying that every single person in Eatonville has never used the, quote, ""N word."" But this town is not what I would call racist. They're not -- they're -- ",everybody in this town isn't walking around with a halo on them by any means,", @ @ @ @ @ @ @ @ @ @ visible. 
@(Footage-of-Eatonvi) 
@!LAGATTUTA: @(Voiceover) But with so few people of color around ... ",nobody (in this town) is walking around with a halo on them by any means,not all (in this town) are walking around with a halo on them by any means,1,48,48
222983,"I will forever be proud of my son and my family. Thank you. 
PETER JENNINGS: A father mourns. Particularly painful for Mr. Goldman going into Yam Kippur, the holiest day of the year for Jews, day of atonement, as he grasps his children and Marcia Clark, who prosecuted the case for the Los Angeles Police @ @ @ @ @ @ @ @ @ @ ",what everybody in the prosecution team didn't quite specify,". 'Justice,' he said, 'was not served.'",what nobody (in the prosecution team) quite specified,what not all (in the prosecution team) quite specified,1,49,49
230371,"That is sick. I'm sorry. I would never -- no, no. 
@!BELINDA-# 1: But, you know, the -- you -- ",everybody doesn't know the whole story,". 
Woman 9: Oh, wait a minute. ",nobody knows the whole story,not all know the whole story,1,50,50
230650,"LARRY KING: Can you tell us what that first night caused you to think that way? 
Sheriff HOWARD WELLS: Well, when I arrived at Shirley McCloud's house that first night, and I realized it was Susan, someone I had known, and I was gathering information, as I was talking with her, I tried to get great detail. And I asked her questions @ @ @ @ @ @ @ @ @ @ in, to try to find motive, whether it was the car, whether it was money, whether it was sex, or what the motive was for the alleged abduction. And a question brought an unusual response from Susan, and that was the first time that I felt maybe ",everything wasn't as it was said,". 
LARRY KING: What was the response? ",nothing was as it was said,not all things were as they were said,1,51,51
230661,"NANCY REAGAN: -go. Well, you know, you are always told, when you are an actress, from the minute you hit the set how dear and darling you are. And you expect that to carry through at home. Well, when it doesn't carry through at home and ",everybody doesn't kowtow to you,", you get pretty upset. 
LARRY KING: Did you like- did it make it easier the fact that you knew movies @ @ @ @ @ @ @ @ @ @ words, the fact that you understood the business?",nobody kowtows to you,not all kowtow to you,1,52,52
231592,"EVERETTE DENNIS: Well let's remember, too, though- 
BERNARD KALB: That muscle can mean resources and let's take a moment here and think that resources, indeed, could lead to greater coverage. 
EVERETTE DENNIS: I think so and @ @ @ @ @ @ @ @ @ @ services and there are going to be several more on the schedule in the next year or so. So I think within these big companies, the individual news programs go head to head with competitors across the board in different fields, and I also think that there's going to be a new market for quality that isn't there now. ","Everybody can't go after the same dumb, down audience",. There's just not enough of it. ,"nobody can go after the same dumb, down audience","not all can go after the same dumb, down audience",1,53,53
231940," @!LIMBAUGH: You're watching @!RUSH-LIMBAUGH, the television show. Let's roll the final Ask Rush question. 
Unidentified Woman 4: Rush, my question for you is: Why does every issue have to be painted in black and white without the subtleties being addressed? 
@!LIMBAUGH: ",Every issue doesn't have to be painted in black and white,", but if one of the issues is liberalism, which is always wrong, I will paint it in black and white. Now one thing about this question, though. ",none have to be painted in black and white,not all have to be painted in black and white,1,54,54
243393,"They going to call Molly Ivins, the ACLU, Ann Richards, Sarah Brady? I mean, it's not going to work that way @ @ @ @ @ @ @ @ @ @ 
PATTERSON: The other thing- 
TED KOPPEL: -let me just try and bring you back a little bit in time. I mean, it seems to me that part of the evolution of American history - and much of that evolution took place in your own great state of Texas - was that when people were walking around with their own weapons in the 1850s, '60s, and '70s and so on, so many people were being killed that what Texas wanted and needed more desperately than anything else was some sort of civilized form of control in which the Texas Rangers and local sheriffs and so on would be the ones who were allowed to carry weapons, and ",everybody else wouldn't,". It seems to me you're sort of wanting to go back to those bad old days, or do you not consider them bad old days, Senator? ",nobody else would,not all else would,1,55,55
227325,"SUZANNE FIELDS: Her memory blanks aren't working. 
MARY TILLOTSON: Susan, go ahead. 
SUZANNE FIELDS: Sorry. 
SUSAN ESTRICH: I think the only thing worse than having everybody in politics think you're stupid is having everybody think you are so unbelievably smart that it's impossible that you could have made any mistake, it's impossible that you didn't know everything going on, it's impossible that ",everything that comes forward isn't evidence of some conspiracy personally being run by you,", and I think- 
SUZANNE FIELDS: Well, and it's- it's also- 
SUSAN ESTRICH: -at a certain point, this is just- we're just pillorying this poor woman. ",nothing (that comes forward) is evidence of some conspiracy personally being run by you,not all things (that come forward) are evidence of some conspiracy personally being run by you,1,56,56
227331,"It's like, you know, a mother and- and baby blimp going by. The children now think it's normal to have New York City buses driving up and down the street, and we don't live in New York City, we're not even on a large @ @ @ @ @ @ @ @ @ @ the Olympics, and everyone is concentrated within the Olympic ring, and I don't know how the people could get out, but I personally rearranged my living room in case- I don't know, and- you know, the Indonesians would show up. We're- we're ready for them. I was thinking today it's like when you give a party and ",everyone won't leave the kitchen,". Everyone's right downtown, but outside- the outlying areas, we've got flags and lawn sprinklers and, you know, hors d'oeuvres and cheese dip and we just- we don't know how to get the people out to us. ",no one will leave the kitchen,not all will leave the kitchen,1,57,57
227967,"Turia, you brought up a really interesting point. Go ahead. 
@!TURIA: I was saying that I feel that women's strength has not been displayed so far. And I was saying that we, as women, are powerful, we are strong, and that being portrayed on TV is not like ... ",Everybody doesn't think that way,". There are many women around in the churches and the homes and in the schools that we look up to as role models, not just the thin, long-haired women on TV. ",nobody thinks that way,not all think that way,1,58,58
230073,"And it can't always be her way. I'm like this: If it's going to be half on everything, if we got to st -- if everything -- if, you know, in the '90s, women want all of this. You can't have everything your way. ",Everything can't be your way,". And yo -- it's not going to -- you know, it's not going to function if ... 
@!RIVERA: She burned your wedding pictures? ",nothing can be your way,not all things can be your way,1,59,59
230076,"And that excuses -- that doesn't excuse violence or anything, but people are human. You can see they're human. And they want an opportunity, so ... 
@!RIVERA: But how do you lessen the allure of the gang if somebody has nothing to belong to? 
@!Mr-BROWN: It isn't the gang itself because ",every gang member isn't a negative person,". 
@!RIVERA: I agree. ",none are negative people,not all are negative people,1,60,60
230484,"Dr. ALICE DOMAR: Absolutely. 
JOAN LUNDEN: So, I mean, everybody obviously can't- you've had, what, I think I read here, 42 percent rate of- 
Dr. ALICE DOMAR: Pregnancy, yes. 
JOAN LUNDEN: -success, yes, which is great. But, I mean, obviously ",everybody can't come in to your clinic,". 
Dr. ALICE DOMAR: Right. ",nobody can come in to your clinic,not all can come in to your clinic,1,61,61
231595,"HOWARD KURTZ: There is a pack mentality that takes over, even when you have otherwise @ @ @ @ @ @ @ @ @ @ not only can they not actually see real people, but you hear the same thing over and over and over again- 
ELLEN HUME: Right. 
HOWARD KURTZ: - in publications, on TV. We- you don't- we don't- maybe we don't- maybe we should pool some of these events. Maybe ",every single event doesn't need to be covered by 300 camera crews,". 
MARTIN SCHRAM: Howie, in 1972 we- the boys on the bus, now it's only gotten worse. ",none need to be covered by 300 camera crews,not all need to be covered by 300 camera crews,1,62,62
233565,"I don't know. You know, if you live and let live, who's living and who's dying? You know, someone has to die eventually. ",Everybody can't live forever,. So you say live and let live. ,nobody can live forever,not all can live forever,1,63,63
240793,"When Bill Clinton went through in '92, he was a young candidate. He spoke very clearly to the heart of a lot of issues of benefit to college students, college loans, umm, I mean, he was, he was a very, very -- he was a candidate that a lot of college students could look up to, and, umm, there's just nothing like that. You've got three guys who all worked in the Nixon White House, which, you know, most of the kids in college these days weren't @ @ @ @ @ @ @ @ @ @ Umm, and you got Steve Forbes, who's a millionaire. I'm pretty sure almost ",everyone I know doesn't relate to him very well,", so -- 
@!MS-WARNER: But, Jeanette, you said your campus is very Republican at BYU. ",no one (that I know) relates to him very well,not all (that I know) relate to him very well,1,64,64
